genome,SRR12347140,SRR12347133,SRR12347143,SRR12347136,SRR12347135,SRR12347132,SRR12347138,SRR12347134,SRR12347146,SRR12347139,SRR12347137,SRR12347145,SRR12347142,SRR12347144,SRR12347141
GCA_014383215.1,0.0027455336494998264,0.05732261677007746,0.07486574745521296,0.015073785192878195,0.039397663393463775,0.07335853538451677,0.00035814733105021644,0.04342955974784999,3.9544859480463796e-05,8.029685919689473e-05,0.0030782347063745713,4.790031943525524e-05,0.04870995929187822,0.07602792405592244,0.0060055378117257995
GCA_014384355.1,0.00582765169034547,0.00010385723906103657,0.001995261701229262,1.6396295480622002e-05,4.2853222873391534e-05,0.00036147077651223436,0.0,8.266611066052978e-05,0.0,0.0,8.119610890202562e-06,0.0,0.00327265670653424,0.0008507020217883053,0.005728728639898134
GCA_014384565.1,9.327973894110395e-06,5.075376388503145e-05,1.5671938856154437e-05,0.0003402231312229065,0.000104368333127131,3.472256227580577e-05,0.012517798880890843,0.00010126598555914898,0.08459373900809004,0.03384654985466838,0.0038486955619560143,0.051468893233181746,1.206004146461529e-05,2.5833785424578262e-05,7.734373918714172e-06
GCA_014382415.1,0.011820097586153556,0.0024319511861577566,0.00597906855846372,0.00016396295480622,0.0005968348056640902,0.004355010599284715,1.6200525475615607e-05,0.0014687012327354123,1.0406541968543106e-06,6.264293979899589e-06,2.706536963400854e-05,8.382555901169666e-06,0.006971252150250575,0.004340075951329148,0.008137782579421843
GCA_014382285.1,7.77331157842533e-06,0.004049492438864037,0.00011059911135628989,0.009655182179611728,0.009789196702513618,0.0017054120010078445,0.006308947492361163,0.006182506565066955,0.004829676127600855,0.004603686593955298,0.010731419059884386,0.011085930179296884,3.727649179971999e-05,0.0004269372959640829,1.3840458591383256e-05
GCA_014383985.1,1.0882636209795462e-05,0.0007932625318327137,5.104574370290302e-05,0.001557275427579985,0.0015147231923715735,0.000529741655233447,1.1571803911154004e-05,0.0008946310198150667,1.0406541968543106e-06,6.833775250799552e-06,0.00030538758737039636,2.9937699647034523e-06,1.8090062196922937e-05,0.00015817528268733007,9.362663164759262e-06
GCA_014382015.1,7.54011223107257e-05,0.0022247066502938785,0.00019254096308989738,0.026028746432408323,0.011301155170828844,0.0008903221096360452,0.024448328713290623,0.004965018457505486,0.00028305794154437244,0.011076980200275173,0.053952558917926524,0.0056749903450918635,0.00016884058050461407,0.0003331198646853513,0.00012700656119151693
GCA_014383605.1,0.08897332432665632,0.00746456282916518,0.03901865005500851,0.00038643087303193217,0.0014500977675544425,0.017635945508725603,1.8514886257846407e-05,0.003849255591673502,3.0178971708775003e-05,1.1389625417999254e-05,4.601112837781451e-05,1.496884982351726e-05,0.06746551650416674,0.02157438339966271,0.0653933173381053
GCA_014382225.1,0.0015080224462145138,0.0032035963741135127,0.007454469659350259,0.0002220952751466071,0.001025021443890962,0.00789315066297836,3.4715411733462013e-06,0.002110741358865527,1.0406541968543106e-06,1.1389625417999252e-06,3.0222996091309536e-05,0.0,0.005188010564596323,0.009386275370930102,0.0019303369011864529
GCA_014384065.1,0.0005215892069123396,0.00557116547089859,0.009391521301970948,0.0012915809121780877,0.003543339468716802,0.008497679375421233,4.6287215644616014e-05,0.005933819348829862,3.1219625905629313e-06,7.403256521699515e-06,0.000373953190443218,4.191277950584833e-06,0.005109072111373386,0.007559328194676155,0.0014048065470254004
