,label
3300010278_22,Anaerobe
3300025503_55,Aerobe
3300010265_36,Anaerobe
3300027284_10,Aerobe
3300013103_99,Anaerobe
3300029321_10,Anaerobe
3300005689_4,Aerobe
3300008103_25,Anaerobe
3300014806_18,Anaerobe
3300026478_1,Aerobe
3300027712_12,Aerobe
3300012846_7,Aerobe
3300007339_8,Facultative
3300013131_70,Aerobe
3300012272_4,Aerobe
3300025640_25,Aerobe
3300025797_3,Anaerobe
3300011929_2,Aerobe
3300014109_22,Anaerobe
3300017971_108,Anaerobe
3300024218_3,Aerobe
3300021134_7,Aerobe
3300017548_12,Aerobe
3300029487_21,Anaerobe
3300020381_10,Aerobe
3300008518_33,Anaerobe
3300029901_16,Aerobe
3300025949_30,Aerobe
3300029578_27,Anaerobe
3300026278_7,Aerobe
3300027649_23,Anaerobe
3300027820_21,Aerobe
3300018878_122,Anaerobe
3300014530_7,Anaerobe
3300028299_27,Anaerobe
3300011379_2,Aerobe
3300020580_5,Aerobe
3300029221_12,Anaerobe
3300011966_4,Anaerobe
3300000347_2,Aerobe
3300025546_28,Anaerobe
3300000226_17,Anaerobe
3300029520_10,Anaerobe
3300020377_21,Aerobe
3300029428_30,Anaerobe
3300013137_196,Aerobe
3300022377_9,Anaerobe
3300029074_4,Anaerobe
3300008081_7,Anaerobe
3300025700_34,Aerobe
3300008715_8,Anaerobe
3300010262_4,Anaerobe
3300007362_13,Anaerobe
3300024299_8,Anaerobe
3300006566_14,Aerobe
3300026080_5,Aerobe
3300027770_33,Aerobe
3300019371_10,Anaerobe
3300017400_40,Aerobe
3300027325_11,Aerobe
3300012824_6,Facultative
3300006186_15,Aerobe
3300017529_4,Anaerobe
3300007925_25,Aerobe
3300027366_7,Aerobe
3300027554_16,Aerobe
3300008561_8,Anaerobe
3300026086_15,Anaerobe
3300028990_5,Anaerobe
3300010281_19,Anaerobe
3300029031_6,Anaerobe
3300025253_4,Aerobe
3300020477_75,Aerobe
3300024258_26,Aerobe
3300029070_6,Anaerobe
3300025097_5,Aerobe
3300007208_11,Anaerobe
3300006676_3,Aerobe
3300014886_16,Anaerobe
3300009503_321,Anaerobe
3300029295_15,Anaerobe
3300028633_21,Anaerobe
3300026237_10,Aerobe
3300014693_1,Aerobe
3300008514_14,Anaerobe
3300025577_21,Anaerobe
3300000235_7,Anaerobe
3300025303_15,Aerobe
3300011732_1,Aerobe
3300012018_15,Aerobe
3300020369_9,Aerobe
3300014720_33,Aerobe
3300020603_95,Facultative
3300025641_9,Aerobe
3300014831_14,Anaerobe
3300029572_22,Anaerobe
3300027157_7,Aerobe
3300013598_1,Anaerobe
3300022661_60,Anaerobe
3300000154_14,Aerobe
3300014964_9,Anaerobe
3300020469_12,Aerobe
3300027770_3,Aerobe
3300026255_15,Anaerobe
3300018424_62,Aerobe
3300025488_34,Aerobe
3300029384_17,Anaerobe
3300025900_11,Aerobe
3300014540_3,Anaerobe
3300029326_7,Anaerobe
3300020447_19,Aerobe
3300027704_17,Aerobe
3300025047_1,Aerobe
3300006249_14,Anaerobe
3300011907_5,Aerobe
3300012999_25,Aerobe
3300025364_2,Aerobe
3300009779_108,Aerobe
3300012555_1,Anaerobe
3300020378_9,Aerobe
3300022661_135,Anaerobe
3300021126_3,Anaerobe
3300024334_10,Aerobe
3300024302_31,Anaerobe
3300008098_19,Anaerobe
3300005529_94,Aerobe
3300014951_17,Facultative
3300027863_195,Anaerobe
3300013980_1,Aerobe
3300027917_45,Anaerobe
3300013125_107,Anaerobe
3300027342_3,Aerobe
3300006487_3,Anaerobe
3300025420_2,Aerobe
3300029326_11,Anaerobe
3300007194_15,Anaerobe
3300024939_3,Aerobe
3300027555_11,Anaerobe
3300027983_69,Aerobe
3300026287_15,Aerobe
3300007969_9,Anaerobe
3300013132_16,Aerobe
3300020109_46,Anaerobe
3300008480_24,Aerobe
3300007924_4,Anaerobe
3300028571_75,Aerobe
3300012016_20,Anaerobe
3300028640_18,Anaerobe
3300023054_4,Aerobe
3300029713_40,Anaerobe
3300024042_8,Facultative
3300006295_3,Anaerobe
3300029862_26,Anaerobe
3300020202_17,Aerobe
3300007498_15,Anaerobe
3300013996_1,Aerobe
3300025479_4,Aerobe
3300017426_37,Aerobe
3300020057_22,Aerobe
3300029243_28,Anaerobe
3300026031_2,Anaerobe
3300011522_3,Aerobe
3300025611_16,Anaerobe
3300012136_4,Facultative
3300029331_22,Anaerobe
3300008534_4,Anaerobe
3300020327_20,Aerobe
3300027983_73,Anaerobe
3300029850_9,Anaerobe
3300011883_2,Facultative
3300024922_7,Aerobe
3300007300_37,Anaerobe
3300008734_53,Anaerobe
3300014152_20,Anaerobe
3300017513_28,Anaerobe
3300026968_2,Aerobe
3300023233_5,Facultative
3300027462_1,Aerobe
3300007305_24,Anaerobe
3300025737_72,Anaerobe
3300027593_4,Aerobe
3300010339_25,Aerobe
3300005985_34,Aerobe
3300025709_46,Aerobe
3300025503_46,Anaerobe
3300015370_54,Anaerobe
3300003364_4,Aerobe
3300029445_39,Anaerobe
3300017426_31,Aerobe
3300026311_74,Anaerobe
3300025856_21,Anaerobe
3300012879_2,Facultative
3300007297_12,Aerobe
3300017992_52,Anaerobe
3300012078_5,Facultative
3300011593_3,Aerobe
3300011799_4,Aerobe
3300019374_14,Anaerobe
3300022753_118,Anaerobe
3300013732_1,Aerobe
3300008705_3,Anaerobe
3300011992_7,Aerobe
3300025699_21,Aerobe
3300025659_43,Aerobe
3300017655_17,Aerobe
3300029893_16,Anaerobe
3300011463_1,Facultative
3300029510_15,Anaerobe
3300002174_63,Anaerobe
3300029393_14,Anaerobe
3300029610_33,Anaerobe
3300029821_8,Anaerobe
3300028568_19,Anaerobe
3300028629_21,Anaerobe
3300014913_9,Aerobe
3300021431_46,Anaerobe
3300003686_2,Anaerobe
3300025882_27,Aerobe
3300029634_5,Anaerobe
3300008732_10,Aerobe
3300022181_14,Anaerobe
3300020603_67,Aerobe
3300025505_6,Aerobe
3300027839_78,Aerobe
3300020214_30,Aerobe
3300014531_9,Anaerobe
3300021400_87,Anaerobe
3300009084_171,Aerobe
3300029442_15,Anaerobe
3300011186_2,Aerobe
3300012833_9,Aerobe
3300002308_10,Anaerobe
3300025661_15,Anaerobe
3300029181_7,Anaerobe
3300027958_46,Aerobe
3300005460_43,Anaerobe
3300025478_26,Facultative
3300024238_2,Anaerobe
3300029874_30,Facultative
3300025253_20,Aerobe
3300025815_7,Aerobe
3300007108_5,Anaerobe
3300028989_7,Anaerobe
3300020168_48,Aerobe
3300013356_1,Facultative
3300029815_16,Anaerobe
3300027354_5,Aerobe
3300025986_18,Aerobe
3300014911_35,Anaerobe
3300026509_4,Aerobe
3300020677_2,Aerobe
3300027155_11,Aerobe
3300026516_41,Aerobe
3300029016_7,Anaerobe
3300025882_57,Aerobe
3300001096_20,Anaerobe
3300014941_6,Aerobe
3300020220_65,Anaerobe
3300029547_13,Anaerobe
3300012089_5,Aerobe
3300025879_13,Aerobe
3300018065_20,Anaerobe
3300027712_23,Aerobe
3300025702_9,Anaerobe
3300026303_11,Aerobe
3300014793_8,Anaerobe
3300029356_10,Anaerobe
3300029332_17,Anaerobe
3300013126_104,Aerobe
3300009381_6,Anaerobe
3300006226_86,Anaerobe
3300008091_17,Anaerobe
3300012136_9,Aerobe
3300025047_8,Aerobe
3300005086_9,Anaerobe
3300025064_1,Aerobe
3300027205_1,Aerobe
3300000062_7,Anaerobe
3300022868_7,Anaerobe
3300027690_34,Anaerobe
3300000059_8,Anaerobe
3300012036_10,Aerobe
3300024971_8,Aerobe
3300025297_22,Aerobe
3300026290_57,Anaerobe
3300020214_80,Anaerobe
3300021387_69,Anaerobe
3300029857_44,Anaerobe
3300025425_7,Aerobe
3300017398_24,Anaerobe
3300027716_6,Anaerobe
3300009083_78,Aerobe
3300020309_8,Aerobe
3300024221_3,Aerobe
3300020266_16,Aerobe
3300027681_5,Aerobe
3300015207_29,Aerobe
3300007722_22,Aerobe
3300018878_108,Anaerobe
2081372013_1,Anaerobe
3300008637_2,Anaerobe
3300018430_121,Anaerobe
3300012044_11,Aerobe
3300012153_12,Anaerobe
3300007732_7,Aerobe
3300013126_6,Aerobe
3300007669_14,Anaerobe
3300014208_164,Aerobe
3300013137_61,Anaerobe
3300020351_11,Facultative
3300009767_42,Anaerobe
3300027736_28,Anaerobe
3300027026_12,Aerobe
3300017938_21,Aerobe
3300025857_8,Aerobe
3300027833_14,Anaerobe
3300025619_20,Aerobe
3300021468_30,Anaerobe
3300028048_61,Anaerobe
3300027211_8,Aerobe
3300014914_46,Anaerobe
3300027137_13,Aerobe
3300008715_17,Anaerobe
3300027910_3,Aerobe
3300020477_62,Aerobe
3300025659_23,Aerobe
3300028029_5,Anaerobe
3300028968_8,Anaerobe
3300026286_9,Aerobe
3300025708_11,Anaerobe
3300011628_3,Aerobe
3300027282_5,Aerobe
3300029844_28,Anaerobe
3300021093_72,Aerobe
3300025547_13,Anaerobe
3300029220_18,Anaerobe
3300008556_5,Anaerobe
3300025502_28,Aerobe
3300014793_6,Anaerobe
3300008626_7,Facultative
3300000839_73,Anaerobe
3300008334_6,Facultative
3300014911_16,Anaerobe
3300017650_9,Aerobe
3300017419_3,Aerobe
3300029020_19,Anaerobe
3300029380_36,Anaerobe
3300029587_27,Anaerobe
3300017398_8,Anaerobe
3300029416_24,Anaerobe
3300029227_11,Anaerobe
3300007096_8,Anaerobe
3300015360_85,Aerobe
3300012184_5,Aerobe
3300007802_10,Anaerobe
3300010282_8,Anaerobe
3300029491_11,Anaerobe
3300008382_3,Facultative
3300013850_1,Facultative
3300021603_27,Anaerobe
3300020138_6,Aerobe
3300011157_4,Anaerobe
3300006253_42,Aerobe
3300012148_9,Anaerobe
3300013925_3,Anaerobe
3300025529_16,Aerobe
3300020262_20,Aerobe
3300011979_4,Anaerobe
3300025047_2,Aerobe
3300022828_2,Anaerobe
3300008571_17,Anaerobe
3300029614_22,Anaerobe
3300025622_25,Aerobe
3300029365_33,Anaerobe
3300025728_22,Facultative
3300009770_51,Anaerobe
3300022912_15,Aerobe
3300014747_4,Anaerobe
3300026229_2,Aerobe
3300012147_2,Aerobe
3300021288_6,Anaerobe
3300020393_15,Aerobe
3300017513_40,Anaerobe
3300010428_31,Anaerobe
3300026299_7,Aerobe
3300025672_6,Aerobe
3300024259_24,Aerobe
3300013771_15,Aerobe
3300028287_26,Aerobe
3300022908_5,Aerobe
3300024914_6,Aerobe
3300011947_2,Aerobe
3300027744_25,Aerobe
3300026254_12,Aerobe
3300026511_10,Aerobe
3300007991_3,Anaerobe
3300027090_1,Aerobe
3300028961_6,Anaerobe
3300011626_2,Facultative
3300029186_11,Anaerobe
3300020695_2,Aerobe
3300025877_70,Aerobe
3300017429_21,Anaerobe
3300027391_35,Anaerobe
3300025028_1,Aerobe
3300023254_8,Anaerobe
3300025935_13,Aerobe
3300029745_22,Anaerobe
3300023179_30,Aerobe
3300021399_44,Anaerobe
3300023091_9,Anaerobe
3300013123_163,Aerobe
3300013130_100,Anaerobe
3300013100_31,Facultative
3300012033_3,Aerobe
3300012956_48,Aerobe
3300029577_24,Anaerobe
